repository_id,repository_name,repository_type,repository_url,oai_url,software,content_types,content_subjects,organisation_name,organisation_country,metadata_record_count,full_text_record_count
209,Publikationer från Malmö universitet,institutional,https://mau.diva-portal.org/smash/search.jsf,https://mau.diva-portal.org/dice/oai,diva_portal,"journal_articles, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Malmö University,se,30397,0
211,Max Planck Society eDoc Server,institutional,http://edoc.mpg.de/,http://edoc.mpg.de/ac_oai.pl,other,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, software","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Max Planck Gesellschaft,de,200000,0
213,Middlesex University Research Repository,institutional,https://repository.mdx.ac.uk/,https://repository.mdx.ac.uk/oai2,other,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Middlesex University,gb,17151,0
214,Minds@UW,institutional,https://minds.wisconsin.edu/,https://minds.wisconsin.edu/oai/request,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, datasets, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Wisconsin-Madison,us,26456,2616
216,Max Planck Institute for the Study of Societies Publications,institutional,http://www.mpifg.de/pu/mpifg_pub_en.asp,N/A,other,"journal_articles, bibliographic_references, unpub_reports_and_working_papers, books_chapters_and_sections","humanities, social_sciences",Max-Planck-Institut für Gesellschaftsforschung,de,61800,0
217,MSpace at the University of Manitoba,institutional,https://mspace.lib.umanitoba.ca,N/A,dspace,"bibliographic_references, theses_and_dissertations, unpub_reports_and_working_papers, datasets","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Manitoba,ca,24394,0
218,Multimedia ONline ARchiv CHemnitz,institutional,http://monarch.qucosa.de/startseite/,http://monarch.qucosa.de/oai/,other,"bibliographic_references, theses_and_dissertations, learning_objects","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Technische Universität Chemnitz,de,3560,0
219,Mannheimer Zentrum für Europäische Sozialforschung Publikationen,institutional,http://www.mzes.uni-mannheim.de/d7/de/publications/search?f[0]=field_biblio_mzes_pub_type%3A1/,N/A,other,"journal_articles, unpub_reports_and_working_papers, books_chapters_and_sections","humanities, social_sciences",Universität Mannheim,de,6781,0
223,Maynooth University Research Archive Library,institutional,http://mural.maynoothuniversity.ie/,N/A,eprints,"journal_articles, conference_and_workshop_papers, theses_and_dissertations","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology","National University of Ireland, Maynooth",ie,13022,2
225,Newcastle University ePrints,institutional,https://eprints.ncl.ac.uk,https://eprints.ncl.ac.uk/oai,eprints,"journal_articles, conference_and_workshop_papers, unpub_reports_and_working_papers, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Newcastle University,gb,126517,25055
227,Nottingham eTheses,institutional,https://eprints.nottingham.ac.uk/etheses/,https://eprints.nottingham.ac.uk/cgi/oai2,eprints,theses_and_dissertations,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Nottingham,gb,6259,0
230,Knowledge Bank at Ohio State University,institutional,https://kb.osu.edu/dspace/,https://kb.osu.edu/oai/request,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",The Ohio State University,us,85779,30782
231,OhioLINK Electronic Theses and Dissertations Center,aggregating,"https://etd.ohiolink.edu/acprod/odb_etd/etd/r/1501/1?clear=0,1,5,10,20,21,1001",N/A,other,"bibliographic_references, theses_and_dissertations","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Ohio Library and Information Network,us,104120,641
236,Publication Server of the Düsseldorf University of Applied Sciences,institutional,https://opus4.kobv.de/opus4-hs-duesseldorf/home,N/A,opus,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, learning_objects","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Hochschule Düsseldorf: University of Applied Sciences,de,907,0
238,OPUS Online Publikationsserver der Katholischen Universität Eichstätt-Ingolstadt,institutional,http://www.opus-bayern.de/ku-eichstaett/,http://opus4.kobv.de/opus4-ku-eichstaett/oai,opus,theses_and_dissertations,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Katholische Universität Eichstätt-Ingolstadt (KU),de,172,2
240,OPUS - Volltextserver Universität Passau,institutional,https://opus4.kobv.de/opus4-uni-passau/home,https://opus4.kobv.de/opus4-uni-passau/oai,opus,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Universität Passau,de,402,0
242,OPUS Online-Publikationsserver des BIB,institutional,https://www.bib-info.de/berufsverband/publikationen/,N/A,opus,"conference_and_workshop_papers, unpub_reports_and_working_papers, learning_objects",social_sciences,Berufsverband Information Bibliothek e.V.,de,1621,0
