repository_id,repository_name,repository_type,repository_url,organisation_name,organisation_country,metadata_record_count,full_text_record_count
3579,Dokumentenrepositorium der RUB / RUB-Repository Ruhr-Universität Bochum,institutional,http://hss-opus.ub.ruhr-uni-bochum.de/opus4/home,Ruhr-Universität Bochum,de,8040,0
3580,Publication Server of the Hochschule fuer Musik Detmold,institutional,https://opus.hfm-detmold.de/home,Hochschule für Musik Detmold,de,12,3
3581,Hochschulschriftenserver der Hochschule Emden/Leer,institutional,https://opus.hs-emden-leer.de/home,Hochschule Emden-Leer,de,16,11
3582,Publication server of Furtwangen University of Applied Sciences,institutional,https://opus.hs-furtwangen.de/home,Hochschule Furtwangen University,de,5360,76
3584,Wissenschaftliche Publikationsserver der Frankfurt University of Applied Sciences,institutional,https://fhffm.bsz-bw.de/home,Frankfurt University of Applied Sciences,de,414,152
3585,e-Publications@khm,institutional,https://e-publications.khm.de,Academy of Media Arts Cologne,de,116,98
3586,Kirchlicher Dokumentenserver,institutional,https://kidoks.bsz-bw.de/home,Arbeitsgemeinschaft Katholisch-Theologischer Bibliotheken,de,746,0
3587,Open Access Repository of Ulm University,institutional,https://oparu.uni-ulm.de/,Ulm University,de,4845,0
3588,Niigata College of Nursing Repository,institutional,https://niconurs.repo.nii.ac.jp/,Niigata College of Nursing,jp,1141,1043
3589,AGI Repository,institutional,https://agi.repo.nii.ac.jp/,Asian Growth Research Institute,jp,110,0
3590,Scriptorium,institutional,https://accesoabierto.uh.cu/s/scriptorium,Universidad de La Habana,cu,2759,0
3591,Repositório Institucional da Escola Bahiana de Medicina e Saúde Pública,institutional,https://www.repositorio.bahiana.edu.br:8443/jspui/,Escola Bahiana de Medicina e Saúde Pública,br,739,0
3592,Natural History Museum Repository,institutional,https://nhm.openrepository.com,Natural History Museum,gb,927,475
3594,LSHTM Data Compass,institutional,https://datacompass.lshtm.ac.uk/,London School of Hygiene and Tropical Medicine,gb,594,0
3595,Istanbul Ticaret University Institutional Repository (DSpace@Ticaret),institutional,http://acikerisim.ticaret.edu.tr/xmlui/,Istanbul Ticaret University,tr,14202,1095
